Week starting,App,Downloads,Install Base,Open Rate,Retention D1,Retention D7,Retention D30,Active Users,Total Minutes,Avg Sessions Per User,Avg Session Duration,Avg Time Per User,Avg Active Days              
1/8/2016,Seine,977123,101624248,72.16%,57.96%,41.11%,35.96%,73331316,14718349669,120.3,00:01:36,03:20:43,4.99
1/15/2016,Seine,1151824,101247185,73.95%,57.50%,42.44%,37.33%,74874492,13271985973,126.26,00:01:21,02:57:15,5.04
1/22/2016,Seine,1127401,101244926,72.29%,57.26%,43.16%,38.07%,73189285,15548462965,125.02,00:01:37,03:32:27,5.01
1/29/2016,Seine,1062128,101733561,70.97%,57.26%,43.16%,38.07%,72196938,14252711844,126.7,00:01:29,03:17:25,4.98
2/5/2016,Seine,1465844,101549518,73.77%,57.26%,43.16%,38.07%,74910479,16201231728,134.08,00:01:32,03:36:16,4.98
2/12/2016,Seine,1230163,103267784,71.63%,58.73%,44.17%,37.28%,73969710,14853922561,122.71,00:01:34,03:20:49,4.98
2/19/2016,Seine,1018905,103720288,71.28%,60.11%,45.12%,36.53%,73931888,13836935740,123.81,00:01:27,03:07:09,4.99
2/26/2016,Seine,894451,104161854,71.17%,60.11%,45.12%,36.53%,74132683,15166424106,126.65,00:01:33,03:24:35,5.01
3/4/2016,Seine,1382622,104711912,72.55%,60.11%,45.12%,36.53%,75971687,16387639024,137.56,00:01:30,03:35:42,5.02
3/11/2016,Seine,2341348,105925591,74.31%,60.11%,45.12%,36.53%,78711596,19510416858,135.78,00:01:44,04:07:52,5.01
3/18/2016,Seine,1324538,107685874,72.67%,59.35%,41.73%,36.47%,78257482,19190637344,127.11,00:01:50,04:05:13,4.98
3/25/2016,Seine,1044083,107911462,71.25%,59.35%,41.73%,36.47%,76884472,17075795824,128.93,00:01:38,03:42:06,5
4/1/2016,Seine,1009677,107882038,70.65%,59.35%,41.73%,36.47%,76222118,16644245500,119.56,00:01:45,03:38:22,5.03
